unid,survey_date_month,survey_num,gender,working,cft_score,num_score,com_score,grit_score,opt_score
52100,2017-12-01,4,Female,False,4.0,,,7,9.0
52100,2018-04-01,5,Female,True,4.0,,,7,9.0
35677,2016-04-01,1,Male,True,4.0,,5.0,9,6.0
35677,2016-08-01,2,Male,True,4.0,,5.0,9,6.0
35677,2016-12-01,3,Male,True,4.0,,5.0,9,6.0
94918,2017-10-01,1,Male,False,,,,9,0.0
53051,2018-02-01,1,Female,True,6.0,,,3,6.0
22261,2016-07-01,1,Male,False,6.0,4.0,8.0,1,4.0
5349,2016-10-01,1,Female,False,4.0,,5.0,5,11.0
75963,2017-11-01,1,Female,False,,,,2,3.0
29061,2018-06-01,1,Female,True,,,,8,
13601,2016-03-01,1,Female,False,7.0,2.0,6.0,1,2.0
80202,2017-06-01,1,Male,False,,,,5,
80202,2018-06-01,2,Male,False,,,,5,
69456,2017-09-01,1,Female,False,,,,0,
13822,2016-05-01,1,Male,False,4.0,,,4,
13822,2017-01-01,2,Male,False,4.0,,,4,
13822,2018-01-01,3,Male,True,4.0,,,4,
73164,2017-09-01,1,Male,False,,,,7,7.0
13439,2018-07-01,1,Female,False,4.0,,,3,
14498,2018-07-01,1,Female,False,,,,9,
41319,2016-12-01,1,Female,True,6.0,,,2,
101591,2017-12-01,1,Female,True,,,,5,10.0
101591,2018-04-01,2,Female,False,,,,5,10.0
35793,2018-05-01,1,Female,False,,,,7,
90274,2018-05-01,1,Female,False,4.0,,,8,
76256,2017-03-01,1,Female,False,6.0,,7.0,3,9.0
76256,2017-11-01,2,Female,False,6.0,,7.0,3,9.0
71803,2018-10-01,1,Male,False,6.0,3.0,6.0,1,
71564,2016-11-01,1,Female,False,4.0,,,6,4.0
71564,2017-10-01,2,Female,False,4.0,,,6,4.0
58882,2018-03-01,1,Male,False,,,,8,5.0
27228,2017-01-01,1,Male,True,,,,8,
45509,2016-08-01,1,Male,False,8.0,5.0,5.0,3,5.0
950,2018-05-01,1,Female,False,,,,5,
55002,2018-03-01,1,Female,True,,,,4,5.0
55002,2018-10-01,2,Female,True,,,,4,5.0
63277,2018-02-01,1,Male,True,,,,0,2.0
55494,2016-05-01,1,Female,False,7.0,4.0,6.0,3,9.0
65460,2018-09-01,1,Female,False,,,,3,
91400,2017-04-01,1,Female,False,6.0,,,3,7.0
6191,2018-09-01,1,Male,False,,,,1,
64460,2016-02-01,1,Male,False,6.0,7.0,7.0,7,7.0
64460,2016-06-01,2,Male,False,6.0,7.0,7.0,7,7.0
64460,2016-10-01,3,Male,False,6.0,7.0,7.0,7,7.0
29648,2017-05-01,1,Male,True,6.0,,,6,
69575,2017-05-01,1,Male,False,4.0,2.0,7.0,6,11.0
17182,2017-03-01,1,Female,False,5.0,,,9,
17182,2018-05-01,2,Female,False,5.0,,,9,
16036,2018-11-01,1,Female,False,,,,6,
68737,2016-10-01,1,Female,False,5.0,,6.0,9,
68737,2017-01-01,2,Female,False,5.0,,6.0,9,
68737,2017-06-01,3,Female,False,5.0,,6.0,9,
68737,2017-10-01,4,Female,False,5.0,,6.0,9,
68737,2018-01-01,5,Female,False,5.0,,6.0,9,
8068,2018-08-01,1,Female,False,,,,3,
36388,2017-03-01,1,Male,False,5.0,4.0,6.0,6,3.0
36388,2018-02-01,2,Male,True,5.0,4.0,6.0,6,3.0
28191,2016-08-01,1,Female,False,5.0,,4.0,9,10.0
28191,2017-12-01,2,Female,False,5.0,,4.0,9,10.0
28191,2018-04-01,3,Female,True,5.0,,4.0,9,10.0
65307,2016-02-01,1,Male,False,5.0,,3.0,5,
59722,2016-03-01,1,Female,True,5.0,,6.0,3,2.0
59722,2016-07-01,2,Female,True,5.0,,6.0,3,2.0
15596,2018-06-01,1,Female,False,,,,9,
72034,2018-04-01,1,Male,True,,,,6,6.0
19932,2018-08-01,1,Female,False,,,,5,
66909,2017-08-01,1,Male,True,,,,8,2.0
88782,2018-06-01,1,Female,False,5.0,,6.0,1,
67709,2018-03-01,1,Female,True,,,,8,
67709,2018-10-01,2,Female,True,,,,8,
65031,2016-04-01,1,Male,False,6.0,,7.0,7,7.0
65031,2016-08-01,2,Male,True,6.0,,7.0,7,7.0
23580,2017-11-01,1,Female,False,,,,6,
25258,2018-09-01,1,Female,False,4.0,,,6,
32294,2018-05-01,1,Female,False,,,,3,
32294,2018-06-01,2,Female,False,,,,3,
45489,2017-01-01,1,Female,True,8.0,3.0,6.0,0,3.0
89330,2017-06-01,1,Female,False,4.0,,,1,8.0
47211,2018-09-01,1,Male,False,7.0,2.0,5.0,5,
174,2018-05-01,1,Female,False,,,,8,
69787,2017-06-01,1,Male,True,7.0,,5.0,1,
23831,2016-08-01,1,Female,False,3.0,,,6,14.0
23831,2016-11-01,2,Female,False,3.0,,,6,14.0
23831,2017-04-01,3,Female,True,3.0,,,6,14.0
23831,2017-11-01,4,Female,False,3.0,,,6,14.0
62563,2016-10-01,1,Female,False,4.0,,9.0,5,7.0
62563,2017-05-01,2,Female,False,4.0,,9.0,5,7.0
26700,2016-03-01,1,Male,False,7.0,4.0,5.0,9,
26700,2016-06-01,2,Male,False,7.0,4.0,5.0,9,
64754,2018-05-01,1,Female,False,,,,7,
58032,2016-02-01,1,Male,True,8.0,4.0,8.0,9,4.0
58032,2016-05-01,2,Male,True,8.0,4.0,8.0,9,4.0
58032,2018-07-01,3,Male,False,8.0,4.0,8.0,9,4.0
4802,2017-12-01,1,Female,False,,,,5,
53758,2018-02-01,1,Male,False,3.0,,,4,5.0
57181,2017-10-01,1,Female,False,,,,4,8.0
37115,2017-01-01,1,Female,False,6.0,,,4,5.0
32302,2018-08-01,1,Female,False,,,,5,
57633,2016-05-01,1,Female,False,2.0,3.0,5.0,8,
93238,2017-04-01,1,Female,False,6.0,,,7,5.0
89199,2016-05-01,1,Male,True,9.0,3.0,5.0,7,2.0
13594,2016-03-01,1,Female,False,5.0,3.0,7.0,9,6.0
13594,2016-07-01,2,Female,False,5.0,3.0,7.0,9,6.0
13594,2016-11-01,3,Female,False,5.0,3.0,7.0,9,6.0
13594,2017-03-01,4,Female,False,5.0,3.0,7.0,9,6.0
13594,2018-06-01,5,Female,False,5.0,3.0,7.0,9,6.0
85954,2016-11-01,1,Male,False,7.0,4.0,7.0,8,5.0
85954,2017-03-01,2,Male,True,7.0,4.0,7.0,8,5.0
50375,2018-01-01,1,Female,False,4.0,,,4,
88526,2017-09-01,1,Male,True,6.0,,,9,10.0
61096,2018-05-01,1,Female,False,,,,7,
61096,2018-05-01,2,Female,False,,,,7,
61096,2018-06-01,3,Female,False,,,,7,
